Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2022-08-12,1,Vie,Levante,Huesca,0,0,1.4,1.0
2022-08-13,2,Sáb,Eibar,Tenerife,2,1,1.4,0.3
2022-08-13,3,Sáb,CD Mirandés,Sporting Gijón,1,1,0.8,0.9
2022-08-13,4,Sáb,Leganés,Alavés,1,2,0.9,1.2
2022-08-13,5,Sáb,Las Palmas,Zaragoza,0,0,0.8,0.5
2022-08-14,6,Dom,Racing Sant,Villarreal B,0,2,0.2,0.4
2022-08-14,7,Dom,Ibiza,Granada,0,2,0.5,1.1
2022-08-14,8,Dom,Burgos,Málaga,1,0,0.7,0.7
2022-08-15,9,Lun,Oviedo,FC Andorra,0,1,0.6,0.3
2022-08-15,10,Lun,Lugo,Albacete,1,2,1.0,2.2
2022-08-15,11,Lun,Cartagena,Ponferradina,2,3,1.3,1.1
2022-08-19,12,Vie,Villarreal B,Eibar,2,2,0.9,1.3
2022-08-19,13,Vie,Alavés,CD Mirandés,1,0,1.2,1.0
2022-08-20,14,Sáb,Sporting Gijón,FC Andorra,4,1,2.2,1.0
2022-08-20,15,Sáb,Albacete,Burgos,0,0,1.4,0.4
2022-08-20,16,Sáb,Zaragoza,Levante,0,0,0.7,0.5
2022-08-20,17,Sáb,Granada,Racing Sant,2,0,0.8,0.3
2022-08-21,18,Dom,Oviedo,Leganés,1,0,1.6,0.6
2022-08-21,19,Dom,Huesca,Cartagena,2,3,1.0,2.6
2022-08-21,20,Dom,Tenerife,Lugo,1,1,1.8,0.3
2022-08-22,21,Lun,Ponferradina,Ibiza,2,1,2.1,0.7
2022-08-22,22,Lun,Málaga,Las Palmas,0,4,1.2,1.9
2022-08-26,23,Vie,Albacete,Huesca,2,1,0.6,1.6
2022-08-26,24,Vie,Cartagena,Zaragoza,1,0,1.0,0.6
2022-08-27,25,Sáb,Sporting Gijón,Burgos,0,0,0.7,0.5
2022-08-27,26,Sáb,CD Mirandés,Málaga,1,3,1.6,1.4
2022-08-27,27,Sáb,Lugo,Leganés,1,0,0.6,1.6
2022-08-27,28,Sáb,Levante,Tenerife,2,0,1.3,0.6
2022-08-28,29,Dom,Racing Sant,Oviedo,0,1,0.6,1.9
2022-08-28,30,Dom,Eibar,Ponferradina,1,0,0.9,0.3
2022-08-28,31,Dom,Ibiza,Alavés,1,1,0.8,0.4
2022-08-29,32,Lun,Granada,Villarreal B,3,0,2.2,0.2
2022-08-29,33,Lun,Las Palmas,FC Andorra,2,0,2.5,0.9
2022-09-02,34,Vie,Leganés,Eibar,2,1,1.1,0.8
2022-09-03,35,Sáb,Alavés,Las Palmas,1,1,0.9,0.9
2022-09-03,36,Sáb,Villarreal B,CD Mirandés,3,0,1.2,0.8
2022-09-03,37,Sáb,Ponferradina,Sporting Gijón,1,3,1.1,1.2
2022-09-03,38,Sáb,Tenerife,Racing Sant,1,0,1.7,0.7
2022-09-04,39,Dom,FC Andorra,Granada,1,0,1.1,1.0
2022-09-04,40,Dom,Málaga,Albacete,1,2,1.6,1.7
2022-09-04,41,Dom,Huesca,Ibiza,3,0,2.0,0.2
2022-09-04,42,Dom,Burgos,Cartagena,1,0,1.2,1.0
2022-09-04,43,Dom,Zaragoza,Lugo,1,2,1.1,0.9
2022-09-05,44,Lun,Oviedo,Levante,1,1,1.0,0.5
2022-09-09,45,Vie,Las Palmas,Leganés,1,0,0.9,0.2
2022-09-10,46,Sáb,Lugo,Alavés,1,2,1.2,1.6
2022-09-10,47,Sáb,Burgos,Oviedo,0,0,0.8,0.4
2022-09-10,48,Sáb,Cartagena,Albacete,2,1,1.8,1.5
2022-09-10,49,Sáb,Levante,Villarreal B,4,1,1.6,0.4
2022-09-11,50,Dom,Sporting Gijón,Racing Sant,0,2,1.3,1.8
2022-09-11,51,Dom,CD Mirandés,FC Andorra,1,1,1.0,1.9
2022-09-11,52,Dom,Ibiza,Tenerife,1,0,0.5,0.4
2022-09-11,53,Dom,Ponferradina,Zaragoza,1,2,0.6,1.5
2022-09-11,54,Dom,Huesca,Málaga,1,0,0.6,0.5
2022-09-12,55,Lun,Eibar,Granada,4,0,1.1,0.4
2022-09-16,56,Vie,Levante,Cartagena,0,1,0.6,0.8
2022-09-17,57,Sáb,Villarreal B,Lugo,3,1,2.0,1.8
2022-09-17,58,Sáb,Oviedo,Ibiza,0,1,1.7,1.4
2022-09-17,59,Sáb,Granada,CD Mirandés,2,1,1.1,0.1
2022-09-17,60,Sáb,FC Andorra,Eibar,2,0,1.1,0.3
2022-09-17,61,Sáb,Zaragoza,Sporting Gijón,1,0,0.9,1.4
2022-09-18,62,Dom,Leganés,Burgos,0,0,0.9,0.4
2022-09-18,63,Dom,Alavés,Huesca,2,1,2.0,0.8
2022-09-18,64,Dom,Racing Sant,Las Palmas,0,0,1.0,1.7
2022-09-18,65,Dom,Albacete,Ponferradina,0,1,1.8,0.4
2022-09-19,66,Lun,Tenerife,Málaga,3,1,2.1,0.6
2022-09-23,67,Vie,Sporting Gijón,Ibiza,2,1,1.0,1.0
2022-09-24,68,Sáb,Huesca,Leganés,1,0,0.8,1.3
2022-09-24,69,Sáb,CD Mirandés,Zaragoza,2,0,1.4,1.7
2022-09-24,70,Sáb,Málaga,Villarreal B,1,1,1.0,0.3
2022-09-24,71,Sáb,Ponferradina,Tenerife,2,2,1.8,1.3
2022-09-25,72,Dom,Burgos,Levante,0,0,1.1,1.1
2022-09-25,73,Dom,Lugo,Oviedo,0,0,0.3,0.6
2022-09-25,74,Dom,Albacete,FC Andorra,1,1,1.3,1.3
2022-09-25,75,Dom,Eibar,Racing Sant,2,1,0.9,0.7
2022-09-26,76,Lun,Las Palmas,Granada,2,0,1.8,0.7
2022-09-26,77,Lun,Cartagena,Alavés,1,1,1.8,0.3
2022-09-30,78,Vie,Tenerife,Sporting Gijón,1,1,1.1,1.1
2022-10-01,79,Sáb,CD Mirandés,Las Palmas,3,3,1.5,1.0
2022-10-01,80,Sáb,Racing Sant,Málaga,0,0,1.4,0.3
2022-10-01,81,Sáb,FC Andorra,Levante,3,1,1.5,1.1
2022-10-01,82,Sáb,Villarreal B,Burgos,0,0,0.9,0.6
2022-10-02,83,Dom,Leganés,Albacete,1,2,1.3,1.4
2022-10-02,84,Dom,Alavés,Ponferradina,3,1,1.4,0.4
2022-10-02,85,Dom,Granada,Huesca,0,0,0.5,0.5
2022-10-02,86,Dom,Oviedo,Cartagena,1,3,0.5,1.1
2022-10-02,87,Dom,Ibiza,Lugo,3,2,1.6,1.8
2022-10-03,88,Lun,Zaragoza,Eibar,0,0,0.8,0.1
2022-10-07,89,Vie,Sporting Gijón,Villarreal B,3,1,1.0,0.5
2022-10-08,90,Sáb,Ponferradina,Granada,0,0,1.0,0.9
2022-10-08,91,Sáb,Las Palmas,Ibiza,0,0,1.4,0.3
2022-10-08,92,Sáb,Huesca,Lugo,1,1,1.4,0.8
2022-10-08,93,Sáb,Burgos,Alavés,3,0,2.1,0.5
2022-10-09,94,Dom,Cartagena,Leganés,1,2,0.9,0.8
2022-10-09,95,Dom,Zaragoza,Oviedo,1,1,0.9,0.4
2022-10-09,96,Dom,Albacete,Tenerife,1,1,0.3,1.0
2022-10-09,97,Dom,Levante,Racing Sant,0,1,0.8,1.9
2022-10-09,98,Dom,Málaga,FC Andorra,0,0,0.8,0.7
2022-10-10,99,Lun,Eibar,CD Mirandés,0,0,1.0,0.7
2022-10-12,100,Mié,Villarreal B,Ponferradina,2,2,2.6,0.5
2022-10-12,101,Mié,FC Andorra,Burgos,0,1,1.0,1.6
2022-10-12,102,Mié,Leganés,Málaga,1,0,1.0,0.5
2022-10-12,103,Mié,Tenerife,Cartagena,0,0,1.2,0.5
2022-10-12,104,Mié,Oviedo,Huesca,0,1,1.0,0.7
2022-10-12,105,Mié,Alavés,Albacete,0,0,0.3,0.3
2022-10-12,106,Mié,Racing Sant,Zaragoza,1,0,1.7,0.3
2022-10-12,107,Mié,Lugo,Las Palmas,0,1,0.6,1.2
2022-10-13,108,Jue,Ibiza,Eibar,1,2,0.6,2.1
2022-10-13,109,Jue,CD Mirandés,Levante,0,1,1.6,1.4
2022-10-13,110,Jue,Granada,Sporting Gijón,5,0,1.4,1.1
2022-10-15,111,Sáb,Zaragoza,Villarreal B,2,1,1.4,0.4
2022-10-15,112,Sáb,FC Andorra,Alavés,0,1,0.5,0.3
2022-10-15,113,Sáb,Huesca,Racing Sant,0,0,0.4,1.1
2022-10-15,114,Sáb,Ponferradina,Las Palmas,0,1,0.4,1.1
2022-10-15,115,Sáb,Albacete,Oviedo,1,0,0.8,0.4
2022-10-16,116,Dom,Levante,Leganés,2,1,1.0,0.9
2022-10-16,117,Dom,Burgos,CD Mirandés,2,1,0.5,1.1
2022-10-16,118,Dom,Málaga,Lugo,3,2,0.7,1.4
2022-10-16,119,Dom,Tenerife,Granada,2,0,1.4,0.5
2022-10-16,120,Dom,Cartagena,Ibiza,2,0,1.8,0.8
2022-10-17,121,Lun,Sporting Gijón,Eibar,2,0,0.9,1.0
2022-10-21,122,Vie,Granada,Zaragoza,1,0,1.5,0.3
2022-10-22,123,Sáb,Villarreal B,FC Andorra,1,0,1.0,1.6
2022-10-22,124,Sáb,Alavés,Sporting Gijón,0,0,0.6,0.7
2022-10-22,125,Sáb,CD Mirandés,Huesca,1,1,1.3,0.8
2022-10-22,126,Sáb,Ibiza,Levante,1,2,0.7,0.8
2022-10-23,127,Dom,Racing Sant,Ponferradina,1,1,1.3,1.2
2022-10-23,128,Dom,Lugo,Burgos,2,0,1.0,0.4
2022-10-23,129,Dom,Eibar,Albacete,1,1,1.9,1.0
2022-10-23,130,Dom,Leganés,Tenerife,2,1,1.9,0.3
2022-10-23,131,Dom,Las Palmas,Cartagena,1,0,1.2,0.0
2022-10-24,132,Lun,Oviedo,Málaga,1,0,0.9,0.9
2022-10-28,133,Vie,Tenerife,Zaragoza,0,2,0.9,0.5
2022-10-29,134,Sáb,FC Andorra,Ponferradina,3,0,1.7,0.6
2022-10-29,135,Sáb,Huesca,Las Palmas,1,0,0.4,0.8
2022-10-29,136,Sáb,Alavés,Oviedo,2,1,1.8,1.2
2022-10-29,137,Sáb,Leganés,Racing Sant,0,0,1.0,0.3
2022-10-29,138,Sáb,Burgos,Ibiza,2,0,1.5,0.4
2022-10-30,139,Dom,Lugo,CD Mirandés,0,0,0.8,0.8
2022-10-30,140,Dom,Málaga,Eibar,0,1,0.9,1.2
2022-10-30,141,Dom,Cartagena,Granada,0,0,1.0,1.6
2022-10-30,142,Dom,Albacete,Villarreal B,0,0,1.2,0.8
2022-10-31,143,Lun,Levante,Sporting Gijón,1,0,0.6,0.4
2022-11-01,144,Mar,Zaragoza,FC Andorra,0,2,1.2,0.6
2022-11-01,145,Mar,Ponferradina,Huesca,1,0,1.9,1.1
2022-11-01,146,Mar,Las Palmas,Burgos,0,2,0.6,0.8
2022-11-01,147,Mar,Racing Sant,Alavés,1,1,0.4,1.8
2022-11-01,148,Mar,Ibiza,Leganés,0,2,0.5,1.5
2022-11-02,149,Mié,Villarreal B,Oviedo,2,1,1.6,1.3
2022-11-02,150,Mié,Eibar,Lugo,1,0,2.6,0.8
2022-11-02,151,Mié,CD Mirandés,Tenerife,1,0,0.6,0.5
2022-11-03,152,Jue,Sporting Gijón,Albacete,2,2,2.7,0.7
2022-11-03,153,Jue,Cartagena,Málaga,2,1,1.4,0.5
2022-11-03,154,Jue,Granada,Levante,0,0,0.8,0.2
2022-11-04,155,Vie,Alavés,Zaragoza,1,0,0.8,1.1
2022-11-05,156,Sáb,Burgos,Tenerife,0,1,0.2,1.2
2022-11-05,157,Sáb,Huesca,Villarreal B,1,0,0.5,0.5
2022-11-05,158,Sáb,FC Andorra,Racing Sant,0,1,0.8,0.5
2022-11-05,159,Sáb,Leganés,Ponferradina,2,1,0.8,0.7
2022-11-06,160,Dom,Ibiza,CD Mirandés,1,1,1.3,0.2
2022-11-06,161,Dom,Oviedo,Granada,1,0,0.4,1.4
2022-11-06,162,Dom,Las Palmas,Eibar,1,1,1.5,0.7
2022-11-06,163,Dom,Málaga,Sporting Gijón,1,1,1.4,1.3
2022-11-06,164,Dom,Albacete,Levante,2,3,1.4,2.4
2022-11-07,165,Lun,Lugo,Cartagena,1,1,0.5,1.4
2022-11-18,166,Vie,Granada,Albacete,4,0,2.0,0.1
2022-11-19,167,Sáb,Ponferradina,Oviedo,1,1,0.5,2.1
2022-11-19,168,Sáb,Tenerife,Huesca,2,0,1.2,0.3
2022-11-19,169,Sáb,Sporting Gijón,Leganés,2,2,2.5,0.7
2022-11-19,170,Sáb,Zaragoza,Málaga,1,1,2.6,0.2
2022-11-20,171,Dom,Villarreal B,Ibiza,1,0,2.4,0.5
2022-11-20,172,Dom,FC Andorra,Lugo,4,0,2.5,0.8
2022-11-20,173,Dom,Eibar,Alavés,0,0,0.4,1.1
2022-11-20,174,Dom,Racing Sant,Burgos,0,1,1.7,0.9
2022-11-20,175,Dom,Levante,Las Palmas,1,1,1.2,1.1
2022-11-21,176,Lun,CD Mirandés,Cartagena,2,1,1.4,1.1
2022-11-25,177,Vie,Huesca,Sporting Gijón,0,0,0.4,1.0
2022-11-26,178,Sáb,Málaga,Ponferradina,1,0,1.2,0.7
2022-11-26,179,Sáb,Alavés,Villarreal B,2,0,2.0,0.7
2022-11-26,180,Sáb,Oviedo,CD Mirandés,1,0,1.2,0.5
2022-11-26,181,Sáb,Albacete,Racing Sant,2,1,0.3,0.8
2022-11-26,182,Sáb,Las Palmas,Tenerife,3,1,0.9,0.1
2022-11-27,183,Dom,Burgos,Zaragoza,2,2,0.8,1.1
2022-11-27,184,Dom,Leganés,Granada,1,0,0.9,0.1
2022-11-27,185,Dom,Lugo,Levante,1,1,0.8,1.7
2022-11-27,186,Dom,Cartagena,Eibar,2,1,1.9,1.6
2022-11-28,187,Lun,Ibiza,FC Andorra,0,1,0.9,1.4
2022-11-30,188,Mié,Tenerife,Oviedo,0,1,1.4,0.4
2022-12-02,189,Vie,Granada,Alavés,3,1,2.4,0.5
2022-12-03,190,Sáb,Zaragoza,Ibiza,2,1,0.8,0.6
2022-12-03,191,Sáb,CD Mirandés,Albacete,4,2,2.6,1.0
2022-12-03,192,Sáb,Sporting Gijón,Las Palmas,0,1,0.7,0.9
2022-12-03,193,Sáb,Villarreal B,Leganés,0,0,0.4,1.5
2022-12-04,194,Dom,FC Andorra,Cartagena,0,1,2.0,0.9
2022-12-04,195,Dom,Racing Sant,Lugo,0,1,0.9,2.5
2022-12-04,196,Dom,Eibar,Huesca,2,1,1.5,0.9
2022-12-04,197,Dom,Levante,Málaga,1,0,1.5,1.1
2022-12-05,198,Lun,Ponferradina,Burgos,1,2,1.5,1.7
2022-12-06,199,Mar,Leganés,CD Mirandés,2,2,1.7,0.6
2022-12-06,200,Mar,Oviedo,Las Palmas,0,0,1.2,0.4
2022-12-06,201,Mar,Albacete,Zaragoza,0,0,0.6,0.5
2022-12-07,202,Mié,Cartagena,Villarreal B,0,1,1.5,1.8
2022-12-07,203,Mié,Huesca,FC Andorra,1,0,1.2,0.4
2022-12-07,204,Mié,Tenerife,Alavés,2,1,1.9,0.2
2022-12-08,205,Jue,Burgos,Eibar,1,2,0.2,1.8
2022-12-08,206,Jue,Lugo,Sporting Gijón,0,1,1.1,1.0
2022-12-08,207,Jue,Ibiza,Racing Sant,1,0,1.2,0.5
2022-12-08,208,Jue,Levante,Ponferradina,0,0,2.1,0.1
2022-12-08,209,Jue,Málaga,Granada,1,1,0.6,1.9
2022-12-10,210,Sáb,Villarreal B,Tenerife,2,2,1.1,1.9
2022-12-10,211,Sáb,FC Andorra,Leganés,1,1,0.9,0.5
2022-12-10,212,Sáb,Zaragoza,Huesca,3,0,1.2,0.9
2022-12-11,213,Dom,Ibiza,Málaga,1,1,0.8,0.7
2022-12-11,214,Dom,Ponferradina,Lugo,1,0,1.2,0.1
2022-12-11,215,Dom,Sporting Gijón,Cartagena,0,0,1.3,0.4
2022-12-11,216,Dom,Granada,Burgos,1,0,1.0,0.9
2022-12-11,217,Dom,Eibar,Oviedo,1,0,1.5,0.6
2022-12-11,218,Dom,Las Palmas,Albacete,1,2,1.7,1.6
2022-12-11,219,Dom,Racing Sant,CD Mirandés,1,2,1.7,0.6
2022-12-12,220,Lun,Alavés,Levante,0,2,0.6,0.7
2022-12-16,221,Vie,Tenerife,FC Andorra,1,1,0.6,0.6
2022-12-17,222,Sáb,CD Mirandés,Ponferradina,2,1,1.2,0.8
2022-12-17,223,Sáb,Lugo,Granada,1,0,1.0,1.1
2022-12-17,224,Sáb,Villarreal B,Las Palmas,0,1,2.6,0.9
2022-12-17,225,Sáb,Cartagena,Racing Sant,0,3,0.7,0.6
2022-12-17,226,Sáb,Oviedo,Sporting Gijón,1,0,0.9,1.2
2022-12-18,227,Dom,Albacete,Ibiza,4,0,1.9,0.8
2022-12-18,228,Dom,Burgos,Huesca,1,1,1.4,1.0
2022-12-18,229,Dom,Levante,Eibar,0,0,1.5,0.5
2022-12-18,230,Dom,Málaga,Alavés,1,0,1.1,0.8
2022-12-19,231,Lun,Leganés,Zaragoza,2,1,1.2,0.9
2023-01-06,232,Vie,Ponferradina,Villarreal B,2,1,2.2,0.3
2023-01-06,233,Vie,Sporting Gijón,Levante,1,1,1.0,2.0
